Session ID,Cumulative Games,Games Simulated in Session,Lifetime Avg Bet (Xbase),Lifetime winrate (W/L x(Base)),Lifetime Amount won (Xbase),Lifetime Amount loss (Xbase),Lifetime Amount push (Xbase),Lifetime Net Gain/Loss (Xbase),Session Avg Bet (Xbase),Session winrate (W/L x(Base)),Session Amount won (Xbase),Session Amount loss (Xbase),Session Amount push (Xbase),Session Net Gain/Loss (Xbase),Session CI Left,Session CI Right,Lifetime CI Left,Lifetime CI Right,Lifetime Mean
1,1000,1000,1.161,49.601,528.500,537.000,95.000,-8.500,1.161,49.601,528.500,537.000,95.000,-8.500,0.000,0.000,0.000,0.000,49.601
2,2000,1000,1.167,51.255,1103.000,1049.000,182.000,54.000,1.173,52.876,574.500,512.000,87.000,62.500,30.432,72.045,39.920,60.936,50.428
3,3000,1000,1.161,50.955,1628.000,1567.000,287.000,61.000,1.148,50.336,525.000,518.000,105.000,7.000,46.669,55.206,48.415,52.793,50.604
4,4000,1000,1.163,50.462,2158.500,2119.000,375.000,39.500,1.171,49.007,530.500,552.000,88.000,-21.500,47.745,53.165,49.418,51.719,50.568
5,5000,1000,1.159,50.489,2687.000,2635.000,471.000,52.000,1.141,50.598,528.500,516.000,96.000,12.500,48.651,52.317,49.774,51.331,50.552
6,6000,1000,1.162,50.495,3241.500,3178.000,555.000,63.500,1.181,50.524,554.500,543.000,84.000,11.500,49.105,51.876,49.954,51.132,50.543
7,7000,1000,1.162,50.391,3768.500,3710.000,653.000,58.500,1.157,49.764,527.000,532.000,98.000,-5.000,49.243,51.530,50.044,50.998,50.521
8,8000,1000,1.161,50.314,4291.500,4238.000,762.000,53.500,1.160,49.762,523.000,528.000,109.000,-5.000,49.334,51.283,50.091,50.899,50.495
9,9000,1000,1.162,50.023,4799.500,4795.000,866.000,4.500,1.169,47.700,508.000,557.000,104.000,-49.000,48.947,51.091,50.075,50.811,50.443
10,10000,1000,1.161,49.899,5318.500,5340.000,954.000,-21.500,1.152,48.778,519.000,545.000,88.000,-26.000,48.913,50.876,50.043,50.734,50.388
11,11000,1000,1.159,49.795,5824.000,5872.000,1056.000,-48.000,1.139,48.723,505.500,532.000,102.000,-26.500,48.882,50.694,50.004,50.665,50.334
12,12000,1000,1.159,49.682,6335.000,6416.000,1155.000,-81.000,1.154,48.436,511.000,544.000,99.000,-33.000,48.821,50.529,49.959,50.601,50.280
13,13000,1000,1.157,49.618,6848.500,6954.000,1241.000,-105.500,1.137,48.835,513.500,538.000,86.000,-24.500,48.821,50.401,49.916,50.542,50.229
14,14000,1000,1.157,49.401,7335.000,7513.000,1347.000,-178.000,1.151,46.533,486.500,559.000,106.000,-72.500,48.524,50.258,49.856,50.484,50.170
15,15000,1000,1.157,49.385,7864.000,8060.000,1426.000,-196.000,1.155,49.164,529.000,547.000,79.000,-18.000,48.574,50.178,49.806,50.429,50.118
16,16000,1000,1.158,49.336,8380.500,8606.000,1538.000,-225.500,1.175,48.612,516.500,546.000,112.000,-29.500,48.576,50.081,49.761,50.376,50.069
17,17000,1000,1.159,49.352,8912.000,9146.000,1639.000,-234.000,1.173,49.603,531.500,540.000,101.000,-8.500,48.640,50.048,49.726,50.328,50.027
18,18000,1000,1.158,49.435,9445.000,9661.000,1733.000,-216.000,1.142,50.859,533.000,515.000,94.000,18.000,48.745,50.112,49.703,50.285,49.994
19,19000,1000,1.158,49.413,9962.500,10199.000,1834.000,-236.500,1.157,49.029,517.500,538.000,101.000,-20.500,48.762,50.053,49.682,50.245,49.963
20,20000,1000,1.159,49.533,10518.500,10717.000,1935.000,-198.500,1.175,51.769,556.000,518.000,101.000,38.000,48.867,50.184,49.672,50.211,49.942
21,21000,1000,1.159,49.633,11068.500,11232.000,2039.000,-163.500,1.169,51.643,550.000,515.000,104.000,35.000,48.968,50.285,49.670,50.184,49.927
22,22000,1000,1.159,49.476,11563.000,11808.000,2122.000,-245.000,1.153,46.193,494.500,576.000,83.000,-81.500,48.765,50.175,49.658,50.155,49.907
23,23000,1000,1.159,49.360,12066.000,12379.000,2209.000,-313.000,1.161,46.834,503.000,571.000,87.000,-68.000,48.643,50.068,49.641,50.125,49.883
24,24000,1000,1.159,49.499,12620.500,12876.000,2312.000,-255.500,1.155,52.734,554.500,497.000,103.000,57.500,48.756,50.237,49.633,50.100,49.867
25,25000,1000,1.158,49.517,13149.500,13406.000,2405.000,-256.500,1.152,49.953,529.000,530.000,93.000,-1.000,48.805,50.224,49.628,50.078,49.853
26,26000,1000,1.159,49.539,13690.000,13945.000,2494.000,-255.000,1.169,50.069,540.500,539.000,89.000,1.500,48.854,50.218,49.623,50.058,49.841
27,27000,1000,1.158,49.500,14216.000,14503.000,2556.000,-287.000,1.146,48.524,526.000,558.000,62.000,-32.000,48.839,50.158,49.618,50.038,49.828
28,28000,1000,1.158,49.428,14721.000,15062.000,2640.000,-341.000,1.148,47.462,505.000,559.000,84.000,-54.000,48.774,50.077,49.609,50.018,49.814
29,29000,1000,1.158,49.389,15248.000,15625.000,2722.000,-377.000,1.172,48.349,527.000,563.000,82.000,-36.000,48.757,50.021,49.600,49.998,49.799
30,30000,1000,1.159,49.458,15803.500,16150.000,2808.000,-346.500,1.167,51.411,555.500,525.000,86.000,30.500,48.831,50.081,49.594,49.981,49.788
31,31000,1000,1.159,49.437,16319.000,16691.000,2912.000,-372.000,1.161,48.793,515.500,541.000,104.000,-25.500,48.829,50.040,49.588,49.965,49.776
32,32000,1000,1.159,49.476,16867.500,17225.000,3008.000,-357.500,1.179,50.670,548.500,534.000,96.000,14.500,48.883,50.064,49.584,49.950,49.767
33,33000,1000,1.160,49.378,17359.000,17796.000,3109.000,-437.000,1.163,46.259,491.500,571.000,101.000,-79.500,48.771,49.981,49.576,49.934,49.755
34,34000,1000,1.159,49.386,17889.500,18334.000,3196.000,-444.500,1.155,49.649,530.500,538.000,87.000,-7.500,48.797,49.970,49.570,49.919,49.744
35,35000,1000,1.159,49.435,18434.000,18855.000,3281.000,-421.000,1.151,51.103,544.500,521.000,85.000,23.500,48.855,50.011,49.565,49.906,49.736
36,36000,1000,1.159,49.441,18965.000,19394.000,3381.000,-429.000,1.170,49.626,531.000,539.000,100.000,-8.000,48.878,49.999,49.561,49.894,49.727
37,37000,1000,1.159,49.420,19488.500,19946.000,3455.000,-457.500,1.149,48.675,523.500,552.000,74.000,-28.500,48.871,49.964,49.557,49.881,49.719
38,38000,1000,1.160,49.408,20019.500,20499.000,3545.000,-479.500,1.174,48.985,531.000,553.000,90.000,-22.000,48.874,49.938,49.552,49.870,49.711
39,39000,1000,1.159,49.415,20543.500,21030.000,3646.000,-486.500,1.156,49.668,524.000,531.000,101.000,-7.000,48.895,49.931,49.548,49.859,49.703
40,40000,1000,1.159,49.456,21088.000,21552.000,3733.000,-464.000,1.153,51.055,544.500,522.000,87.000,22.500,48.943,49.965,49.545,49.849,49.697
41,41000,1000,1.160,49.448,21613.500,22096.000,3837.000,-482.500,1.173,49.135,525.500,544.000,104.000,-18.500,48.948,49.945,49.543,49.839,49.691
42,42000,1000,1.160,49.543,22179.000,22588.000,3947.000,-409.000,1.167,53.475,565.500,492.000,110.000,73.500,49.019,50.065,49.543,49.832,49.688
43,43000,1000,1.160,49.549,22708.500,23122.000,4051.000,-413.500,1.167,49.788,529.500,534.000,104.000,-4.500,49.037,50.059,49.543,49.826,49.684
44,44000,1000,1.159,49.525,23203.500,23649.000,4160.000,-445.500,1.131,48.434,495.000,527.000,109.000,-32.000,49.022,50.024,49.542,49.819,49.681
45,45000,1000,1.159,49.532,23736.500,24185.000,4249.000,-448.500,1.158,49.860,533.000,536.000,89.000,-3.000,49.040,50.020,49.542,49.813,49.677
46,46000,1000,1.160,49.552,24280.500,24720.000,4347.000,-439.500,1.177,50.417,544.000,535.000,98.000,9.000,49.069,50.030,49.542,49.807,49.675
47,47000,1000,1.160,49.558,24812.500,25255.000,4446.000,-442.500,1.166,49.859,532.000,535.000,99.000,-3.000,49.086,50.026,49.543,49.802,49.672
48,48000,1000,1.160,49.507,25313.500,25818.000,4538.000,-504.500,1.156,47.086,501.000,563.000,92.000,-62.000,49.033,49.976,49.542,49.796,49.669
49,49000,1000,1.160,49.534,25867.500,26354.000,4641.000,-486.500,1.193,50.826,554.000,536.000,103.000,18.000,49.067,49.996,49.542,49.790,49.666
50,50000,1000,1.161,49.558,26413.000,26884.000,4732.000,-471.000,1.167,50.721,545.500,530.000,91.000,15.500,49.098,50.013,49.542,49.786,49.664
51,51000,1000,1.161,49.618,26982.000,27398.000,4817.000,-416.000,1.168,52.539,569.000,514.000,85.000,55.000,49.151,50.077,49.544,49.782,49.663
52,52000,1000,1.161,49.644,27533.500,27928.000,4900.000,-394.500,1.165,50.994,551.500,530.000,83.000,21.500,49.183,50.097,49.546,49.780,49.663
53,53000,1000,1.161,49.627,28056.000,28478.000,4985.000,-422.000,1.157,48.718,522.500,550.000,85.000,-27.500,49.173,50.072,49.547,49.777,49.662
54,54000,1000,1.161,49.620,28588.000,29026.000,5077.000,-438.000,1.172,49.259,532.000,548.000,92.000,-16.000,49.175,50.057,49.549,49.774,49.661
55,55000,1000,1.161,49.563,29079.000,29592.000,5187.000,-513.000,1.167,46.452,491.000,566.000,110.000,-75.000,49.111,50.007,49.549,49.770,49.659
56,56000,1000,1.161,49.605,29626.000,30098.000,5292.000,-472.000,1.158,51.947,547.000,506.000,105.000,41.000,49.153,50.049,49.550,49.767,49.658
57,57000,1000,1.161,49.648,30181.500,30610.000,5391.000,-428.500,1.167,52.037,555.500,512.000,99.000,43.500,49.196,50.092,49.552,49.765,49.658
58,58000,1000,1.161,49.604,30679.000,31169.000,5492.000,-490.000,1.157,47.089,497.500,559.000,101.000,-61.500,49.151,50.049,49.553,49.762,49.657
59,59000,1000,1.161,49.549,31175.000,31742.000,5583.000,-567.000,1.160,46.399,496.000,573.000,91.000,-77.000,49.092,50.000,49.553,49.758,49.655
60,60000,1000,1.161,49.573,31722.500,32269.000,5687.000,-546.500,1.179,50.954,547.500,527.000,104.000,20.500,49.120,50.018,49.553,49.755,49.654
61,61000,1000,1.161,49.543,32230.500,32825.000,5793.000,-594.500,1.170,47.744,508.000,556.000,106.000,-48.000,49.094,49.985,49.553,49.752,49.652
62,62000,1000,1.161,49.573,32773.500,33338.000,5882.000,-564.500,1.145,51.420,543.000,513.000,89.000,30.000,49.128,50.012,49.553,49.749,49.651
63,63000,1000,1.161,49.578,33312.500,33879.000,5982.000,-566.500,1.180,49.907,539.000,541.000,100.000,-2.000,49.140,50.010,49.553,49.746,49.650
64,64000,1000,1.161,49.536,33796.500,34429.000,6077.000,-632.500,1.129,46.809,484.000,550.000,95.000,-66.000,49.095,49.968,49.553,49.743,49.648
65,65000,1000,1.161,49.566,34342.000,34943.000,6171.000,-601.000,1.153,51.487,545.500,514.000,94.000,31.500,49.128,49.996,49.553,49.740,49.647
66,66000,1000,1.161,49.582,34879.500,35467.000,6270.000,-587.500,1.161,50.636,537.500,524.000,99.000,13.500,49.150,50.007,49.554,49.738,49.646
67,67000,1000,1.161,49.530,35376.000,36048.000,6361.000,-672.000,1.169,46.079,496.500,581.000,91.000,-84.500,49.091,49.960,49.553,49.735,49.644
68,68000,1000,1.161,49.553,35897.000,36544.000,6486.000,-647.000,1.142,51.229,521.000,496.000,125.000,25.000,49.120,49.982,49.553,49.732,49.643
69,69000,1000,1.161,49.564,36426.000,37067.000,6584.000,-641.000,1.150,50.285,529.000,523.000,98.000,6.000,49.137,49.987,49.554,49.730,49.642
70,70000,1000,1.160,49.555,36950.000,37614.000,6667.000,-664.000,1.154,48.926,524.000,547.000,83.000,-23.000,49.133,49.972,49.554,49.727,49.640
71,71000,1000,1.160,49.588,37509.000,38132.000,6747.000,-623.000,1.157,51.903,559.000,518.000,80.000,41.000,49.167,50.004,49.554,49.725,49.640
72,72000,1000,1.161,49.638,38087.500,38643.000,6853.000,-555.500,1.196,53.098,578.500,511.000,106.000,67.500,49.211,50.058,49.555,49.724,49.640
73,73000,1000,1.161,49.622,38613.000,39201.000,6938.000,-588.000,1.169,48.500,525.500,558.000,85.000,-32.500,49.200,50.038,49.556,49.722,49.639
74,74000,1000,1.161,49.604,39129.000,39754.000,7051.000,-625.000,1.182,48.269,516.000,553.000,113.000,-37.000,49.186,50.015,49.557,49.721,49.639
75,75000,1000,1.161,49.611,39662.500,40284.000,7139.000,-621.500,1.151,50.165,533.500,530.000,88.000,3.500,49.199,50.018,49.558,49.719,49.638
76,76000,1000,1.161,49.608,40187.500,40823.000,7242.000,-635.500,1.167,49.342,525.000,539.000,103.000,-14.000,49.201,50.009,49.558,49.718,49.638
77,77000,1000,1.161,49.591,40700.500,41372.000,7337.000,-671.500,1.157,48.305,513.000,549.000,95.000,-36.000,49.188,49.988,49.559,49.716,49.637
78,78000,1000,1.161,49.555,41194.000,41933.000,7433.000,-739.000,1.151,46.799,493.500,561.000,96.000,-67.500,49.151,49.953,49.559,49.714,49.636
79,79000,1000,1.161,49.508,41686.000,42514.000,7539.000,-828.000,1.179,45.853,492.000,581.000,106.000,-89.000,49.098,49.912,49.558,49.712,49.635
80,80000,1000,1.161,49.508,42205.000,43044.000,7637.000,-839.000,1.147,49.476,519.000,530.000,98.000,-11.000,49.103,49.906,49.557,49.709,49.633
81,81000,1000,1.161,49.520,42739.000,43568.000,7723.000,-829.000,1.144,50.473,534.000,524.000,86.000,10.000,49.120,49.914,49.557,49.707,49.632
82,82000,1000,1.161,49.495,43247.500,44130.000,7803.000,-882.500,1.151,47.501,508.500,562.000,80.000,-53.500,49.097,49.887,49.556,49.704,49.630
83,83000,1000,1.161,49.508,43781.500,44652.000,7907.000,-870.500,1.160,50.568,534.000,522.000,104.000,12.000,49.114,49.896,49.555,49.702,49.629
84,84000,1000,1.161,49.535,44335.500,45167.000,8005.000,-831.500,1.167,51.824,554.000,515.000,98.000,39.000,49.142,49.923,49.555,49.700,49.628
85,85000,1000,1.161,49.548,44875.500,45694.000,8095.000,-818.500,1.157,50.609,540.000,527.000,90.000,13.000,49.159,49.932,49.555,49.698,49.627
86,86000,1000,1.161,49.555,45410.500,46226.000,8198.000,-815.500,1.170,50.141,535.000,532.000,103.000,3.000,49.170,49.935,49.555,49.696,49.626
87,87000,1000,1.161,49.582,45973.000,46749.000,8282.000,-776.000,1.169,51.819,562.500,523.000,84.000,39.500,49.197,49.960,49.555,49.695,49.625
88,88000,1000,1.161,49.609,46529.000,47262.000,8388.000,-733.000,1.175,52.011,556.000,513.000,106.000,43.000,49.225,49.987,49.556,49.694,49.625
89,89000,1000,1.161,49.643,47099.000,47776.000,8477.000,-677.000,1.173,52.583,570.000,514.000,89.000,56.000,49.257,50.022,49.557,49.694,49.625
90,90000,1000,1.161,49.670,47662.500,48295.000,8557.000,-632.500,1.163,52.055,563.500,519.000,80.000,44.500,49.285,50.048,49.558,49.693,49.626
91,91000,1000,1.161,49.677,48204.500,48832.000,8643.000,-627.500,1.165,50.232,542.000,537.000,86.000,5.000,49.295,50.050,49.560,49.693,49.626
92,92000,1000,1.161,49.664,48715.500,49374.000,8764.000,-658.500,1.174,48.528,511.000,542.000,121.000,-31.000,49.286,50.034,49.561,49.693,49.627
93,93000,1000,1.161,49.668,49250.000,49909.000,8852.000,-659.000,1.157,49.977,534.500,535.000,88.000,-0.500,49.293,50.034,49.562,49.693,49.627
94,94000,1000,1.161,49.663,49766.500,50441.000,8950.000,-674.500,1.147,49.261,516.500,532.000,98.000,-15.500,49.293,50.026,49.563,49.692,49.628
95,95000,1000,1.161,49.655,50272.500,50972.000,9082.000,-699.500,1.169,48.795,506.000,531.000,132.000,-25.000,49.287,50.013,49.564,49.692,49.628
96,96000,1000,1.161,49.660,50796.000,51492.000,9198.000,-696.000,1.159,50.168,523.500,520.000,116.000,3.500,49.296,50.015,49.565,49.691,49.628
97,97000,1000,1.161,49.667,51334.500,52022.000,9292.000,-687.500,1.163,50.398,538.500,530.000,94.000,8.500,49.308,50.019,49.566,49.691,49.629
98,98000,1000,1.161,49.711,51912.000,52516.000,9388.000,-604.000,1.167,53.896,577.500,494.000,96.000,83.500,49.344,50.069,49.567,49.691,49.629
99,99000,1000,1.161,49.729,52446.500,53019.000,9497.000,-572.500,1.147,51.518,534.500,503.000,109.000,31.500,49.364,50.085,49.569,49.692,49.630
100,100000,1000,1.161,49.758,53006.500,53522.000,9588.000,-515.500,1.154,52.681,560.000,503.000,91.000,57.000,49.393,50.116,49.571,49.693,49.632
101,101000,1000,1.161,49.752,53522.500,54057.000,9694.000,-534.500,1.157,49.096,516.000,535.000,106.000,-19.000,49.390,50.106,49.573,49.693,49.633
102,102000,1000,1.161,49.754,54066.500,54602.000,9786.000,-535.500,1.181,49.954,544.000,545.000,92.000,-1.000,49.395,50.104,49.574,49.694,49.634
103,103000,1000,1.161,49.737,54581.000,55159.000,9876.000,-578.000,1.161,48.017,514.500,557.000,90.000,-42.500,49.380,50.086,49.576,49.694,49.635
104,104000,1000,1.161,49.754,55144.500,55690.000,9949.000,-545.500,1.167,51.485,563.500,531.000,73.000,32.500,49.399,50.101,49.578,49.695,49.636
105,105000,1000,1.161,49.738,55658.500,56244.000,10042.000,-585.500,1.161,48.127,514.000,554.000,93.000,-40.000,49.386,50.083,49.579,49.695,49.637
106,106000,1000,1.161,49.741,56191.500,56776.000,10130.000,-584.500,1.153,50.047,533.000,532.000,88.000,1.000,49.392,50.083,49.581,49.696,49.638
107,107000,1000,1.161,49.733,56718.500,57327.000,10229.000,-608.500,1.177,48.887,527.000,551.000,99.000,-24.000,49.387,50.072,49.582,49.696,49.639
108,108000,1000,1.162,49.736,57258.000,57865.000,10328.000,-607.000,1.177,50.070,539.500,538.000,99.000,1.500,49.393,50.072,49.583,49.696,49.640
109,109000,1000,1.162,49.726,57777.500,58415.000,10422.000,-637.500,1.163,48.574,519.500,550.000,94.000,-30.500,49.385,50.059,49.585,49.697,49.641
110,110000,1000,1.162,49.708,58288.500,58973.000,10511.000,-684.500,1.158,47.802,511.000,558.000,89.000,-47.000,49.369,50.040,49.586,49.697,49.641
111,111000,1000,1.162,49.708,58830.500,59521.000,10605.000,-690.500,1.184,49.725,542.000,548.000,94.000,-6.000,49.372,50.037,49.587,49.697,49.642
112,112000,1000,1.162,49.702,59356.000,60067.000,10693.000,-711.000,1.159,49.043,525.500,546.000,88.000,-20.500,49.369,50.028,49.588,49.697,49.643
113,113000,1000,1.162,49.745,59936.000,60551.000,10788.000,-615.000,1.159,54.511,580.000,484.000,95.000,96.000,49.404,50.079,49.589,49.697,49.643
114,114000,1000,1.162,49.750,60464.000,61072.000,10883.000,-608.000,1.144,50.334,528.000,521.000,95.000,7.000,49.412,50.081,49.591,49.698,49.644
115,115000,1000,1.162,49.747,60985.500,61606.000,10983.000,-620.500,1.155,49.408,521.500,534.000,100.000,-12.500,49.412,50.075,49.592,49.698,49.645
116,116000,1000,1.161,49.777,61551.000,62103.000,11078.000,-552.000,1.157,53.224,565.500,497.000,95.000,68.500,49.439,50.108,49.594,49.699,49.646
117,117000,1000,1.162,49.753,62055.500,62672.000,11175.000,-616.500,1.171,46.996,504.500,569.000,97.000,-64.500,49.415,50.084,49.595,49.700,49.647
118,118000,1000,1.162,49.768,62602.500,63185.000,11274.000,-582.500,1.159,51.604,547.000,513.000,99.000,34.000,49.432,50.099,49.596,49.700,49.648
119,119000,1000,1.161,49.777,63137.500,63703.000,11373.000,-565.500,1.152,50.807,535.000,518.000,99.000,17.000,49.444,50.105,49.598,49.701,49.649
120,120000,1000,1.162,49.760,63664.500,64278.000,11449.000,-613.500,1.178,47.822,527.000,575.000,76.000,-48.000,49.428,50.087,49.599,49.701,49.650
121,121000,1000,1.162,49.784,64236.000,64793.000,11528.000,-557.000,1.165,52.600,571.500,515.000,79.000,56.500,49.451,50.111,49.601,49.702,49.651
122,122000,1000,1.162,49.769,64748.500,65350.000,11625.000,-601.500,1.167,47.920,512.500,557.000,97.000,-44.500,49.438,50.095,49.602,49.703,49.652
123,123000,1000,1.162,49.774,65288.000,65882.000,11728.000,-594.000,1.175,50.350,539.500,532.000,103.000,7.500,49.445,50.097,49.603,49.703,49.653
124,124000,1000,1.162,49.770,65821.000,66430.000,11818.000,-609.000,1.171,49.306,533.000,548.000,90.000,-15.000,49.444,50.091,49.605,49.704,49.654
125,125000,1000,1.162,49.758,66340.500,66987.000,11917.000,-646.500,1.175,48.258,519.500,557.000,99.000,-37.500,49.433,50.077,49.606,49.704,49.655
126,126000,1000,1.162,49.779,66896.000,67490.000,12006.000,-594.000,1.147,52.480,555.500,503.000,89.000,52.500,49.455,50.099,49.607,49.705,49.656
127,127000,1000,1.162,49.767,67420.500,68052.000,12090.000,-631.500,1.171,48.274,524.500,562.000,84.000,-37.500,49.445,50.085,49.609,49.705,49.657
128,128000,1000,1.162,49.773,67952.000,68572.000,12184.000,-620.000,1.145,50.547,531.500,520.000,94.000,11.500,49.453,50.089,49.610,49.706,49.658
129,129000,1000,1.162,49.730,68416.000,69158.000,12271.000,-742.000,1.137,44.190,464.000,586.000,87.000,-122.000,49.401,50.055,49.611,49.706,49.658
130,130000,1000,1.162,49.720,68919.500,69695.000,12381.000,-775.500,1.151,48.390,503.500,537.000,110.000,-33.500,49.392,50.042,49.612,49.706,49.659
131,131000,1000,1.161,49.720,69446.500,70228.000,12474.000,-781.500,1.153,49.717,527.000,533.000,93.000,-6.000,49.395,50.040,49.612,49.706,49.659
132,132000,1000,1.162,49.722,69980.000,70763.000,12580.000,-783.000,1.175,49.930,533.500,535.000,106.000,-1.500,49.399,50.039,49.613,49.707,49.660
133,133000,1000,1.162,49.742,70549.500,71280.000,12662.000,-730.500,1.169,52.416,569.500,517.000,82.000,52.500,49.419,50.059,49.614,49.707,49.660
134,134000,1000,1.162,49.746,71091.000,71818.000,12748.000,-727.000,1.165,50.162,541.500,538.000,86.000,3.500,49.425,50.060,49.615,49.707,49.661
135,135000,1000,1.161,49.751,71627.000,72343.000,12831.000,-716.000,1.144,50.518,536.000,525.000,83.000,11.000,49.433,50.064,49.616,49.707,49.662
136,136000,1000,1.161,49.765,72171.500,72853.000,12929.000,-681.500,1.153,51.636,544.500,510.000,98.000,34.500,49.448,50.077,49.617,49.708,49.663
137,137000,1000,1.162,49.767,72708.000,73388.000,13031.000,-680.000,1.173,50.070,536.500,535.000,102.000,1.500,49.452,50.077,49.618,49.708,49.663
138,138000,1000,1.162,49.762,73226.500,73926.000,13137.000,-699.500,1.163,49.077,518.500,538.000,106.000,-19.500,49.449,50.069,49.619,49.709,49.664
139,139000,1000,1.162,49.746,73740.500,74493.000,13221.000,-752.500,1.165,47.549,514.000,567.000,84.000,-53.000,49.434,50.053,49.620,49.709,49.665
140,140000,1000,1.162,49.743,74271.500,75038.000,13312.000,-766.500,1.167,49.349,531.000,545.000,91.000,-14.000,49.434,50.048,49.621,49.709,49.665
141,141000,1000,1.162,49.732,74784.000,75589.000,13409.000,-805.000,1.161,48.190,512.500,551.000,97.000,-38.500,49.424,50.035,49.622,49.709,49.666
142,142000,1000,1.161,49.728,75294.000,76117.000,13520.000,-823.000,1.149,49.133,510.000,528.000,111.000,-18.000,49.422,50.029,49.623,49.710,49.666
143,143000,1000,1.161,49.726,75820.000,76656.000,13616.000,-836.000,1.161,49.390,526.000,539.000,96.000,-13.000,49.422,50.025,49.623,49.710,49.667
144,144000,1000,1.162,49.703,76319.000,77231.000,13712.000,-912.000,1.170,46.462,499.000,575.000,96.000,-76.000,49.398,50.003,49.624,49.710,49.667
145,145000,1000,1.162,49.697,76841.000,77777.000,13805.000,-936.000,1.161,48.876,522.000,546.000,93.000,-24.000,49.394,49.996,49.624,49.710,49.667
146,146000,1000,1.162,49.696,77370.000,78316.000,13897.000,-946.000,1.160,49.532,529.000,539.000,92.000,-10.000,49.395,49.992,49.625,49.710,49.667
147,147000,1000,1.162,49.707,77911.000,78830.000,14002.000,-919.000,1.160,51.280,541.000,514.000,105.000,27.000,49.407,50.002,49.625,49.709,49.667
148,148000,1000,1.162,49.703,78446.000,79382.000,14076.000,-936.000,1.161,49.218,535.000,552.000,74.000,-17.000,49.406,49.997,49.626,49.709,49.668
149,149000,1000,1.162,49.704,78985.000,79927.000,14162.000,-942.000,1.170,49.723,539.000,545.000,86.000,-6.000,49.408,49.995,49.626,49.709,49.668
150,150000,1000,1.162,49.709,79535.000,80467.000,14233.000,-932.000,1.161,50.459,550.000,540.000,71.000,10.000,49.415,49.998,49.627,49.709,49.668
151,151000,1000,1.162,49.720,80081.500,80985.000,14344.000,-903.500,1.175,51.339,546.500,518.000,111.000,28.500,49.427,50.008,49.628,49.709,49.669
152,152000,1000,1.162,49.724,80611.500,81505.000,14441.000,-893.500,1.147,50.476,530.000,520.000,97.000,10.000,49.433,50.011,49.628,49.710,49.669
153,153000,1000,1.162,49.711,81120.500,82065.000,14536.000,-944.500,1.164,47.615,509.000,560.000,95.000,-51.000,49.420,49.997,49.629,49.710,49.669
154,154000,1000,1.162,49.740,81706.500,82561.000,14622.000,-854.500,1.168,54.159,586.000,496.000,86.000,90.000,49.445,50.029,49.629,49.710,49.670
155,155000,1000,1.162,49.740,82239.500,83098.000,14715.000,-858.500,1.163,49.813,533.000,537.000,93.000,-4.000,49.448,50.028,49.630,49.710,49.670
156,156000,1000,1.162,49.724,82751.000,83669.000,14805.000,-918.000,1.173,47.252,511.500,571.000,90.000,-59.500,49.432,50.012,49.631,49.710,49.670
157,157000,1000,1.162,49.721,83269.500,84205.000,14903.000,-935.500,1.153,49.170,518.500,536.000,98.000,-17.500,49.430,50.006,49.631,49.710,49.671
158,158000,1000,1.162,49.716,83792.500,84750.000,14997.000,-957.500,1.162,48.970,523.000,545.000,94.000,-22.000,49.427,50.000,49.632,49.710,49.671
159,159000,1000,1.162,49.731,84354.500,85267.000,15096.000,-912.500,1.178,52.085,562.000,517.000,99.000,45.000,49.442,50.015,49.633,49.710,49.671
160,160000,1000,1.162,49.732,84891.500,85805.000,15187.000,-913.500,1.166,49.953,537.000,538.000,91.000,-1.000,49.446,50.014,49.633,49.710,49.672
161,161000,1000,1.162,49.753,85474.000,86321.000,15268.000,-847.000,1.179,53.027,582.500,516.000,81.000,66.500,49.465,50.036,49.634,49.711,49.672
162,162000,1000,1.162,49.753,86004.500,86859.000,15351.000,-854.500,1.151,49.649,530.500,538.000,83.000,-7.500,49.466,50.033,49.635,49.711,49.673
163,163000,1000,1.162,49.756,86542.500,87390.000,15445.000,-847.500,1.163,50.327,538.000,531.000,94.000,7.000,49.471,50.035,49.635,49.711,49.673
164,164000,1000,1.162,49.748,87050.500,87931.000,15552.000,-880.500,1.156,48.427,508.000,541.000,107.000,-33.000,49.465,50.026,49.636,49.712,49.674
165,165000,1000,1.162,49.757,87607.500,88463.000,15641.000,-855.500,1.178,51.148,557.000,532.000,89.000,25.000,49.474,50.033,49.637,49.712,49.674
166,166000,1000,1.162,49.766,88152.500,88982.000,15738.000,-829.500,1.161,51.222,545.000,519.000,97.000,26.000,49.484,50.041,49.638,49.712,49.675
167,167000,1000,1.162,49.762,88679.000,89528.000,15829.000,-849.000,1.163,49.091,526.500,546.000,91.000,-19.500,49.482,50.035,49.638,49.712,49.675
168,168000,1000,1.162,49.747,89173.500,90081.000,15939.000,-907.500,1.157,47.208,494.500,553.000,110.000,-58.500,49.467,50.020,49.639,49.713,49.676
169,169000,1000,1.162,49.748,89724.000,90633.000,16024.000,-909.000,1.188,49.932,550.500,552.000,85.000,-1.500,49.469,50.020,49.640,49.713,49.676
170,170000,1000,1.162,49.747,90268.500,91186.000,16101.000,-917.500,1.175,49.613,544.500,553.000,77.000,-8.500,49.470,50.017,49.640,49.713,49.677
