Session ID,Cumulative Games,Games Simulated in Session,Games Played in Session,Lifetime Avg Bet (Xbase),Lifetime winrate (W/L x(Base)),Lifetime Amount won (Xbase),Lifetime Amount loss (Xbase),Lifetime Amount push (Xbase),Lifetime Net Gain/Loss (Xbase),Session Avg Bet (Xbase),Session winrate (W/L x(Base)),Session Amount won (Xbase),Session Amount loss (Xbase),Session Amount push (Xbase),Session Net Gain/Loss (Xbase)
66,66000,1000,264.0,10.251,50.179,310410.0,308190.0,57990.0,2220.0,10.275,49.921,4765.0,4780.0,730.0,-15.0
67,67000,1000,271.0,10.24,50.216,314985.0,312270.0,58810.0,2715.0,9.475,52.86,4575.0,4080.0,820.0,495.0
68,68000,1000,322.0,10.254,50.224,320280.0,317420.0,59600.0,2860.0,11.235,50.694,5295.0,5150.0,790.0,145.0
69,69000,1000,350.0,10.305,50.166,326285.0,324120.0,60640.0,2165.0,13.745,47.265,6005.0,6700.0,1040.0,-695.0
70,70000,1000,317.0,10.323,50.116,331320.0,329780.0,61510.0,1540.0,11.565,47.078,5035.0,5660.0,870.0,-625.0
71,71000,1000,323.0,10.334,50.12,336315.0,334710.0,62670.0,1605.0,11.085,50.327,4995.0,4930.0,1160.0,65.0
72,72000,1000,199.0,10.311,50.095,340355.0,339070.0,62960.0,1285.0,8.69,48.095,4040.0,4360.0,290.0,-320.0
73,73000,1000,369.0,10.41,50.073,348320.0,347300.0,64290.0,1020.0,17.525,49.182,7965.0,8230.0,1330.0,-265.0
74,74000,1000,254.0,10.383,50.091,352470.0,351190.0,64670.0,1280.0,8.42,51.617,4150.0,3890.0,380.0,260.0
75,75000,1000,285.0,10.417,50.05,357980.0,357270.0,66030.0,710.0,12.95,47.541,5510.0,6080.0,1360.0,-570.0
76,76000,1000,254.0,10.394,50.023,361790.0,361460.0,66710.0,330.0,8.68,47.625,3810.0,4190.0,680.0,-380.0
77,77000,1000,251.0,10.415,50.045,367400.0,366740.0,67820.0,660.0,12.0,51.515,5610.0,5280.0,1110.0,330.0
78,78000,1000,308.0,10.461,50.038,373655.0,373090.0,69200.0,565.0,13.985,49.623,6255.0,6350.0,1380.0,-95.0
79,79000,1000,252.0,10.411,50.0,376365.0,376360.0,69730.0,5.0,6.51,45.318,2710.0,3270.0,530.0,-560.0
80,80000,1000,180.0,10.399,49.962,380325.0,380910.0,70660.0,-585.0,9.44,46.533,3960.0,4550.0,930.0,-590.0
