Session ID,Cumulative Games,Games Simulated in Session,Games Played in Session,Lifetime Avg Bet (Xbase),Lifetime winrate (W/L x(Base)),Lifetime Amount won (Xbase),Lifetime Amount loss (Xbase),Lifetime Amount push (Xbase),Lifetime Net Gain/Loss (Xbase),Session Avg Bet (Xbase),Session winrate (W/L x(Base)),Session Amount won (Xbase),Session Amount loss (Xbase),Session Amount push (Xbase),Session Net Gain/Loss (Xbase)
40,40000,1000,136.0,4.309,50.382,79180.0,77980.0,15190.0,1200.0,2.98,55.311,1510.0,1220.0,250.0,290.0
41,41000,1000,96.0,4.26,50.281,80095.0,79200.0,15380.0,895.0,2.325,42.857,915.0,1220.0,190.0,-305.0
42,42000,1000,199.0,4.298,50.408,83075.0,81730.0,15690.0,1345.0,5.82,54.083,2980.0,2530.0,310.0,450.0
43,43000,1000,71.0,4.235,50.379,83810.0,82550.0,15750.0,1260.0,1.615,47.267,735.0,820.0,60.0,-85.0
44,44000,1000,161.0,4.221,50.429,85605.0,84150.0,15970.0,1455.0,3.615,52.872,1795.0,1600.0,220.0,195.0
45,45000,1000,250.0,4.311,50.421,89585.0,88090.0,16320.0,1495.0,8.27,50.253,3980.0,3940.0,350.0,40.0
46,46000,1000,229.0,4.355,50.313,92340.0,91190.0,16800.0,1150.0,6.335,47.054,2755.0,3100.0,480.0,-345.0
47,47000,1000,166.0,4.349,50.42,94455.0,92880.0,17050.0,1575.0,4.055,55.585,2115.0,1690.0,250.0,425.0
48,48000,1000,73.0,4.295,50.392,95180.0,93700.0,17270.0,1480.0,1.765,46.926,725.0,820.0,220.0,-95.0
49,49000,1000,148.0,4.273,50.412,96690.0,95110.0,17560.0,1580.0,3.21,51.712,1510.0,1410.0,290.0,100.0
50,50000,1000,134.0,4.284,50.437,99005.0,97290.0,17910.0,1715.0,4.845,51.502,2315.0,2180.0,350.0,135.0
51,51000,1000,211.0,4.314,50.484,101680.0,99730.0,18590.0,1950.0,5.795,52.297,2675.0,2440.0,680.0,235.0
52,52000,1000,155.0,4.289,50.477,103015.0,101070.0,18930.0,1945.0,3.015,49.907,1335.0,1340.0,340.0,-5.0
53,53000,1000,188.0,4.313,50.299,105270.0,104020.0,19320.0,1250.0,5.595,43.324,2255.0,2950.0,390.0,-695.0
54,54000,1000,211.0,4.352,50.336,108315.0,106870.0,19810.0,1445.0,6.385,51.654,3045.0,2850.0,490.0,195.0
55,55000,1000,159.0,4.347,50.339,110235.0,108750.0,20110.0,1485.0,4.1,50.526,1920.0,1880.0,300.0,40.0
56,56000,1000,154.0,4.343,50.333,112095.0,110610.0,20530.0,1485.0,4.14,50.0,1860.0,1860.0,420.0,0.0
57,57000,1000,71.0,4.295,50.339,112830.0,111310.0,20660.0,1520.0,1.565,51.22,735.0,700.0,130.0,35.0
58,58000,1000,89.0,4.254,50.271,113535.0,112310.0,20900.0,1225.0,1.945,41.349,705.0,1000.0,240.0,-295.0
59,59000,1000,174.0,4.272,50.45,116305.0,114230.0,21530.0,2075.0,5.32,59.062,2770.0,1920.0,630.0,850.0
60,60000,1000,274.0,4.339,50.587,120570.0,117770.0,22020.0,2800.0,8.295,54.644,4265.0,3540.0,490.0,725.0
61,61000,1000,139.0,4.33,50.617,122395.0,119410.0,22320.0,2985.0,3.765,52.67,1825.0,1640.0,300.0,185.0
62,62000,1000,131.0,4.31,50.671,123880.0,120600.0,22710.0,3280.0,3.065,55.514,1485.0,1190.0,390.0,295.0
63,63000,1000,206.0,4.338,50.76,126765.0,122970.0,23560.0,3795.0,6.105,54.9,2885.0,2370.0,850.0,515.0
64,64000,1000,198.0,4.339,50.89,129125.0,124610.0,23960.0,4515.0,4.4,59.0,2360.0,1640.0,400.0,720.0
65,65000,1000,179.0,4.337,50.907,131185.0,126510.0,24240.0,4675.0,4.24,52.02,2060.0,1900.0,280.0,160.0
66,66000,1000,226.0,4.385,51.015,135000.0,129630.0,24790.0,5370.0,7.485,55.011,3815.0,3120.0,550.0,695.0
67,67000,1000,308.0,4.438,51.075,138845.0,133000.0,25510.0,5845.0,7.935,53.292,3845.0,3370.0,720.0,475.0
68,68000,1000,226.0,4.463,51.167,141945.0,135470.0,26070.0,6475.0,6.13,55.655,3100.0,2470.0,560.0,630.0
69,69000,1000,175.0,4.447,51.159,143460.0,136960.0,26430.0,6500.0,3.365,50.416,1515.0,1490.0,360.0,25.0
70,70000,1000,137.0,4.436,51.099,145005.0,138770.0,26770.0,6235.0,3.695,46.051,1545.0,1810.0,340.0,-265.0
71,71000,1000,226.0,4.473,51.091,148170.0,141840.0,27540.0,6330.0,7.005,50.762,3165.0,3070.0,770.0,95.0
72,72000,1000,221.0,4.489,51.093,150810.0,144360.0,28040.0,6450.0,5.66,51.163,2640.0,2520.0,500.0,120.0
73,73000,1000,210.0,4.508,51.15,153735.0,146820.0,28520.0,6915.0,5.865,54.318,2925.0,2460.0,480.0,465.0
74,74000,1000,199.0,4.52,51.162,156260.0,149160.0,29040.0,7100.0,5.385,51.901,2525.0,2340.0,520.0,185.0
75,75000,1000,234.0,4.555,51.304,160110.0,151970.0,29550.0,8140.0,7.17,57.808,3850.0,2810.0,510.0,1040.0
76,76000,1000,202.0,4.557,51.289,162310.0,154150.0,29840.0,8160.0,4.67,50.228,2200.0,2180.0,290.0,20.0
77,77000,1000,132.0,4.552,51.328,164205.0,155710.0,30560.0,8495.0,4.175,54.848,1895.0,1560.0,720.0,335.0
78,78000,1000,164.0,4.539,51.335,165880.0,157250.0,30920.0,8630.0,3.575,52.1,1675.0,1540.0,360.0,135.0
79,79000,1000,114.0,4.515,51.31,167050.0,158520.0,31140.0,8530.0,2.66,47.951,1170.0,1270.0,220.0,-100.0
80,80000,1000,183.0,4.513,51.267,168985.0,160630.0,31400.0,8355.0,4.305,47.837,1935.0,2110.0,260.0,-175.0
81,81000,1000,139.0,4.516,51.271,171295.0,162800.0,31730.0,8495.0,4.81,51.562,2310.0,2170.0,330.0,140.0
82,82000,1000,143.0,4.514,51.304,173375.0,164560.0,32190.0,8815.0,4.3,54.167,2080.0,1760.0,460.0,320.0
83,83000,1000,222.0,4.517,51.257,175390.0,166790.0,32760.0,8600.0,4.815,47.468,2015.0,2230.0,570.0,-215.0
