Session ID,Cumulative Games,Games Simulated in Session,Games Played in Session,Lifetime Avg Bet (Xbase),Lifetime winrate (W/L x(Base)),Lifetime Amount won (Xbase),Lifetime Amount loss (Xbase),Lifetime Amount push (Xbase),Lifetime Net Gain/Loss (Xbase),Session Avg Bet (Xbase),Session winrate (W/L x(Base)),Session Amount won (Xbase),Session Amount loss (Xbase),Session Amount push (Xbase),Session Net Gain/Loss (Xbase)
60,60000,1000,491.0,37.488,49.488,1021240.0,1042390.0,185660.0,-21150.0,36.615,52.908,17965.0,15990.0,2660.0,1975.0
61,61000,1000,587.0,37.63,49.497,1042100.0,1063270.0,190090.0,-21170.0,46.17,49.976,20860.0,20880.0,4430.0,-20.0
62,62000,1000,583.0,37.673,49.512,1060760.0,1081690.0,193270.0,-20930.0,40.26,50.324,18660.0,18420.0,3180.0,240.0
63,63000,1000,450.0,37.489,49.531,1072980.0,1093300.0,195500.0,-20320.0,26.06,51.28,12220.0,11610.0,2230.0,610.0
64,64000,1000,478.0,37.39,49.482,1086235.0,1108960.0,197790.0,-22725.0,31.205,45.841,13255.0,15660.0,2290.0,-2405.0
65,65000,1000,439.0,37.214,49.516,1098910.0,1120410.0,199560.0,-21500.0,25.895,52.539,12675.0,11450.0,1770.0,1225.0
66,66000,1000,506.0,37.217,49.505,1115640.0,1137960.0,202710.0,-22320.0,37.43,48.804,16730.0,17550.0,3150.0,-820.0
67,67000,1000,599.0,37.317,49.503,1135160.0,1157950.0,207120.0,-22790.0,43.92,49.405,19520.0,19990.0,4410.0,-470.0
68,68000,1000,445.0,37.17,49.52,1147925.0,1170200.0,209410.0,-22275.0,27.305,51.029,12765.0,12250.0,2290.0,515.0
69,69000,1000,603.0,37.285,49.504,1167750.0,1191170.0,213770.0,-23420.0,45.155,48.597,19825.0,20970.0,4360.0,-1145.0
70,70000,1000,531.0,37.232,49.511,1183240.0,1206630.0,216390.0,-23390.0,33.57,50.048,15490.0,15460.0,2620.0,30.0
71,71000,1000,479.0,37.195,49.51,1199050.0,1222800.0,218970.0,-23750.0,34.56,49.437,15810.0,16170.0,2580.0,-360.0
72,72000,1000,630.0,37.318,49.522,1220745.0,1244330.0,221850.0,-23585.0,46.105,50.191,21695.0,21530.0,2880.0,165.0
73,73000,1000,554.0,37.324,49.543,1238250.0,1261100.0,225320.0,-22850.0,37.745,51.072,17505.0,16770.0,3470.0,735.0
74,74000,1000,499.0,37.277,49.534,1253180.0,1276750.0,228570.0,-23570.0,33.83,48.823,14930.0,15650.0,3250.0,-720.0
75,75000,1000,560.0,37.319,49.561,1272470.0,1295000.0,231490.0,-22530.0,40.46,51.385,19290.0,18250.0,2920.0,1040.0
76,76000,1000,599.0,37.408,49.573,1293230.0,1315520.0,234290.0,-22290.0,44.08,50.291,20760.0,20520.0,2800.0,240.0
77,77000,1000,572.0,37.388,49.601,1309870.0,1330970.0,238070.0,-21100.0,35.87,51.854,16640.0,15450.0,3780.0,1190.0
78,78000,1000,626.0,37.479,49.661,1331640.0,1349800.0,241890.0,-18160.0,44.42,53.621,21770.0,18830.0,3820.0,2940.0
79,79000,1000,567.0,37.533,49.642,1350165.0,1369640.0,245280.0,-19475.0,41.755,48.286,18525.0,19840.0,3390.0,-1315.0
80,80000,1000,575.0,37.568,49.698,1370165.0,1386820.0,248470.0,-16655.0,40.37,53.792,20000.0,17180.0,3190.0,2820.0
81,81000,1000,511.0,37.518,49.687,1384485.0,1401910.0,252550.0,-17425.0,33.49,48.691,14320.0,15090.0,4080.0,-770.0
82,82000,1000,544.0,37.549,49.735,1404045.0,1418980.0,255960.0,-14935.0,40.04,53.399,19560.0,17070.0,3410.0,2490.0
83,83000,1000,679.0,37.705,49.853,1430820.0,1439270.0,259420.0,-8450.0,50.525,56.889,26775.0,20290.0,3460.0,6485.0
84,84000,1000,562.0,37.712,49.878,1448865.0,1455970.0,262990.0,-7105.0,38.315,51.936,18045.0,16700.0,3570.0,1345.0
85,85000,1000,563.0,37.713,49.843,1465055.0,1474290.0,266270.0,-9235.0,37.79,46.914,16190.0,18320.0,3280.0,-2130.0
86,86000,1000,618.0,37.829,49.846,1487050.0,1496230.0,270000.0,-9180.0,47.665,50.063,21995.0,21940.0,3730.0,55.0
87,87000,1000,594.0,37.828,49.852,1504160.0,1513090.0,273800.0,-8930.0,37.77,50.368,17110.0,16860.0,3800.0,250.0
88,88000,1000,657.0,37.965,49.798,1525530.0,1537930.0,277490.0,-12400.0,49.9,46.245,21370.0,24840.0,3690.0,-3470.0
89,89000,1000,447.0,37.881,49.816,1539885.0,1551280.0,280200.0,-11395.0,30.415,51.814,14355.0,13350.0,2710.0,1005.0
90,90000,1000,541.0,37.83,49.795,1554365.0,1567190.0,283120.0,-12825.0,33.31,47.647,14480.0,15910.0,2920.0,-1430.0
91,91000,1000,563.0,37.83,49.829,1572720.0,1583540.0,286270.0,-10820.0,37.855,52.889,18355.0,16350.0,3150.0,2005.0
92,92000,1000,614.0,37.89,49.827,1592100.0,1603150.0,290600.0,-11050.0,43.32,49.705,19380.0,19610.0,4330.0,-230.0
93,93000,1000,607.0,37.904,49.845,1610580.0,1620580.0,293920.0,-10000.0,39.23,51.462,18480.0,17430.0,3320.0,1050.0
94,94000,1000,602.0,37.901,49.836,1627260.0,1637990.0,297480.0,-10730.0,37.65,48.929,16680.0,17410.0,3560.0,-730.0
95,95000,1000,519.0,37.911,49.834,1644680.0,1655620.0,301250.0,-10940.0,38.82,49.7,17420.0,17630.0,3770.0,-210.0
96,96000,1000,570.0,37.855,49.79,1657720.0,1671690.0,304640.0,-13970.0,32.5,44.796,13040.0,16070.0,3390.0,-3030.0
97,97000,1000,559.0,37.901,49.797,1677290.0,1690940.0,308140.0,-13650.0,42.32,50.412,19570.0,19250.0,3500.0,320.0
98,98000,1000,593.0,37.913,49.781,1694500.0,1709380.0,311550.0,-14880.0,39.06,48.275,17210.0,18440.0,3410.0,-1230.0
99,99000,1000,507.0,37.885,49.733,1708845.0,1727210.0,314520.0,-18365.0,35.145,44.584,14345.0,17830.0,2970.0,-3485.0
100,100000,1000,526.0,37.839,49.736,1723805.0,1742100.0,317980.0,-18295.0,33.31,50.117,14960.0,14890.0,3460.0,70.0
