Session ID,Cumulative Games,Games Simulated in Session,Games Played in Session,Lifetime Avg Bet (Xbase),Lifetime winrate (W/L x(Base)),Lifetime Amount won (Xbase),Lifetime Amount loss (Xbase),Lifetime Amount push (Xbase),Lifetime Net Gain/Loss (Xbase),Session Avg Bet (Xbase),Session winrate (W/L x(Base)),Session Amount won (Xbase),Session Amount loss (Xbase),Session Amount push (Xbase),Session Net Gain/Loss (Xbase)
40,40000,1000,136.0,4.095,51.583,77560.0,72800.0,13420.0,4760.0,2.895,47.929,1215.0,1320.0,360.0,-105.0
41,41000,1000,170.0,4.089,51.608,79505.0,74550.0,13600.0,4955.0,3.875,52.639,1945.0,1750.0,180.0,195.0
42,42000,1000,120.0,4.088,51.678,81470.0,76180.0,14060.0,5290.0,4.055,54.659,1965.0,1630.0,460.0,335.0
43,43000,1000,199.0,4.092,51.67,83465.0,78070.0,14410.0,5395.0,4.235,51.351,1995.0,1890.0,350.0,105.0
44,44000,1000,137.0,4.064,51.503,84555.0,79620.0,14640.0,4935.0,2.87,41.288,1090.0,1550.0,230.0,-460.0
45,45000,1000,139.0,4.034,51.411,85705.0,81000.0,14810.0,4705.0,2.7,45.455,1150.0,1380.0,170.0,-230.0
46,46000,1000,148.0,4.002,51.437,86970.0,82110.0,15030.0,4860.0,2.595,53.263,1265.0,1110.0,220.0,155.0
47,47000,1000,85.0,3.956,51.432,87820.0,82930.0,15200.0,4890.0,1.84,50.898,850.0,820.0,170.0,30.0
48,48000,1000,188.0,3.972,51.349,89945.0,85220.0,15510.0,4725.0,4.725,48.131,2125.0,2290.0,310.0,-165.0
49,49000,1000,131.0,3.942,51.394,91125.0,86180.0,15870.0,4945.0,2.5,55.14,1180.0,960.0,360.0,220.0
50,50000,1000,177.0,3.953,51.586,93445.0,87700.0,16520.0,5745.0,4.49,60.417,2320.0,1520.0,650.0,800.0
51,51000,1000,135.0,3.94,51.453,94785.0,89430.0,16750.0,5355.0,3.3,43.648,1340.0,1730.0,230.0,-390.0
52,52000,1000,131.0,3.909,51.363,95690.0,90610.0,16950.0,5080.0,2.285,43.405,905.0,1180.0,200.0,-275.0
53,53000,1000,143.0,3.897,51.422,97385.0,92000.0,17180.0,5385.0,3.315,54.943,1695.0,1390.0,230.0,305.0
54,54000,1000,164.0,3.911,51.356,99495.0,94240.0,17450.0,5255.0,4.62,48.506,2110.0,2240.0,270.0,-130.0
55,55000,1000,240.0,3.952,51.38,102580.0,97070.0,17730.0,5510.0,6.195,52.156,3085.0,2830.0,280.0,255.0
56,56000,1000,177.0,3.96,51.381,104665.0,99040.0,18080.0,5625.0,4.405,51.418,2085.0,1970.0,350.0,115.0
57,57000,1000,149.0,3.952,51.349,106230.0,100650.0,18360.0,5580.0,3.455,49.291,1565.0,1610.0,280.0,-45.0
58,58000,1000,160.0,3.942,51.467,108050.0,101890.0,18680.0,6160.0,3.38,59.477,1820.0,1240.0,320.0,580.0
59,59000,1000,112.0,3.922,51.464,109340.0,103120.0,18910.0,6220.0,2.75,51.19,1290.0,1230.0,230.0,60.0
60,60000,1000,112.0,3.89,51.566,110490.0,103780.0,19140.0,6710.0,2.04,63.536,1150.0,660.0,230.0,490.0
61,61000,1000,184.0,3.9,51.479,112335.0,105880.0,19680.0,6455.0,4.485,46.768,1845.0,2100.0,540.0,-255.0
62,62000,1000,152.0,3.897,51.498,114065.0,107430.0,20110.0,6635.0,3.71,52.744,1730.0,1550.0,430.0,180.0
63,63000,1000,196.0,3.918,51.48,116455.0,109760.0,20590.0,6695.0,5.2,50.636,2390.0,2330.0,480.0,60.0
64,64000,1000,108.0,3.884,51.494,117305.0,110500.0,20780.0,6805.0,1.78,53.459,850.0,740.0,190.0,110.0
65,65000,1000,118.0,3.864,51.454,118370.0,111680.0,21090.0,6690.0,2.555,47.439,1065.0,1180.0,310.0,-115.0
66,66000,1000,185.0,3.883,51.382,120630.0,114140.0,21520.0,6490.0,5.15,47.881,2260.0,2460.0,430.0,-200.0
67,67000,1000,252.0,3.921,51.342,123540.0,117080.0,22120.0,6460.0,6.45,49.744,2910.0,2940.0,600.0,-30.0
68,68000,1000,147.0,3.921,51.274,125140.0,118920.0,22540.0,6220.0,3.86,46.512,1600.0,1840.0,420.0,-240.0
69,69000,1000,161.0,3.921,51.282,127030.0,120680.0,22820.0,6350.0,3.93,51.781,1890.0,1760.0,280.0,130.0
70,70000,1000,173.0,3.922,51.236,128870.0,122650.0,23050.0,6220.0,4.04,48.294,1840.0,1970.0,230.0,-130.0
71,71000,1000,90.0,3.906,51.23,130140.0,123890.0,23270.0,6250.0,2.73,50.598,1270.0,1240.0,220.0,30.0
72,72000,1000,234.0,3.933,51.207,132950.0,126680.0,23530.0,6270.0,5.86,50.179,2810.0,2790.0,260.0,20.0
73,73000,1000,180.0,3.936,51.215,134920.0,128520.0,23870.0,6400.0,4.15,51.706,1970.0,1840.0,340.0,130.0
74,74000,1000,192.0,3.947,51.179,136930.0,130620.0,24500.0,6310.0,4.74,48.905,2010.0,2100.0,630.0,-90.0
75,75000,1000,238.0,3.977,51.083,139620.0,133700.0,24940.0,5920.0,6.21,46.62,2690.0,3080.0,440.0,-390.0
76,76000,1000,217.0,3.997,51.085,142085.0,136050.0,25640.0,6035.0,5.515,51.194,2465.0,2350.0,700.0,115.0
