Session ID,Cumulative Games,Games Simulated in Session,Games Played in Session,Lifetime Avg Bet (Xbase),Lifetime winrate (W/L x(Base)),Lifetime Amount won (Xbase),Lifetime Amount loss (Xbase),Lifetime Amount push (Xbase),Lifetime Net Gain/Loss (Xbase),Session Avg Bet (Xbase),Session winrate (W/L x(Base)),Session Amount won (Xbase),Session Amount loss (Xbase),Session Amount push (Xbase),Session Net Gain/Loss (Xbase)
41,41000,1000,92.0,0.889,49.783,16655.0,16800.0,3010.0,-145.0,1.495,59.14,825.0,570.0,100.0,255.0
42,42000,1000,72.0,0.889,49.993,17115.0,17120.0,3100.0,-5.0,0.87,58.974,460.0,320.0,90.0,140.0
43,43000,1000,33.0,0.882,50.187,17480.0,17350.0,3110.0,130.0,0.605,61.345,365.0,230.0,10.0,135.0
44,44000,1000,68.0,0.883,50.07,17870.0,17820.0,3170.0,50.0,0.92,45.349,390.0,470.0,60.0,-80.0
45,45000,1000,37.0,0.874,50.083,18110.0,18050.0,3190.0,60.0,0.49,51.064,240.0,230.0,20.0,10.0
46,46000,1000,62.0,0.877,50.378,18670.0,18390.0,3270.0,280.0,0.98,62.222,560.0,340.0,80.0,220.0
47,47000,1000,52.0,0.877,50.217,19055.0,18890.0,3280.0,165.0,0.895,43.503,385.0,500.0,10.0,-115.0
48,48000,1000,60.0,0.875,50.078,19360.0,19300.0,3330.0,60.0,0.765,42.657,305.0,410.0,50.0,-105.0
49,49000,1000,39.0,0.867,50.032,19585.0,19560.0,3360.0,25.0,0.515,46.392,225.0,260.0,30.0,-35.0
50,50000,1000,54.0,0.864,49.994,19905.0,19910.0,3380.0,-5.0,0.69,47.761,320.0,350.0,20.0,-30.0
51,51000,1000,63.0,0.867,49.969,20365.0,20390.0,3460.0,-25.0,1.02,48.936,460.0,480.0,80.0,-20.0
52,52000,1000,29.0,0.857,49.836,20485.0,20620.0,3460.0,-135.0,0.35,34.286,120.0,230.0,0.0,-110.0
53,53000,1000,45.0,0.854,49.832,20820.0,20960.0,3490.0,-140.0,0.705,49.63,335.0,340.0,30.0,-5.0
54,54000,1000,54.0,0.854,50.006,21265.0,21260.0,3600.0,5.0,0.855,59.732,445.0,300.0,110.0,145.0
55,55000,1000,71.0,0.861,50.149,21940.0,21810.0,3630.0,130.0,1.255,55.102,675.0,550.0,30.0,125.0
56,56000,1000,39.0,0.855,50.164,22175.0,22030.0,3690.0,145.0,0.515,51.648,235.0,220.0,60.0,15.0
57,57000,1000,100.0,0.868,49.841,22755.0,22900.0,3840.0,-145.0,1.6,40.0,580.0,870.0,150.0,-290.0
58,58000,1000,51.0,0.868,49.752,23070.0,23300.0,4000.0,-230.0,0.875,44.056,315.0,400.0,160.0,-85.0
59,59000,1000,63.0,0.87,49.683,23510.0,23810.0,4020.0,-300.0,0.97,46.316,440.0,510.0,20.0,-70.0
60,60000,1000,39.0,0.863,49.581,23650.0,24050.0,4080.0,-400.0,0.44,36.842,140.0,240.0,60.0,-100.0
61,61000,1000,31.0,0.856,49.652,23895.0,24230.0,4100.0,-335.0,0.445,57.647,245.0,180.0,20.0,65.0
62,62000,1000,29.0,0.848,49.551,24015.0,24450.0,4100.0,-435.0,0.34,35.294,120.0,220.0,0.0,-100.0
63,63000,1000,38.0,0.842,49.616,24255.0,24630.0,4170.0,-375.0,0.49,57.143,240.0,180.0,70.0,60.0
64,64000,1000,91.0,0.856,49.643,25020.0,25380.0,4410.0,-360.0,1.755,50.495,765.0,750.0,240.0,15.0
65,65000,1000,112.0,0.873,49.78,26000.0,26230.0,4530.0,-230.0,1.95,53.552,980.0,850.0,120.0,130.0
66,66000,1000,59.0,0.871,49.915,26410.0,26500.0,4560.0,-90.0,0.71,60.294,410.0,270.0,30.0,140.0
67,67000,1000,91.0,0.877,49.676,26870.0,27220.0,4670.0,-350.0,1.29,38.983,460.0,720.0,110.0,-260.0
68,68000,1000,92.0,0.886,49.689,27525.0,27870.0,4880.0,-345.0,1.515,50.192,655.0,650.0,210.0,5.0
69,69000,1000,32.0,0.88,49.611,27705.0,28140.0,4880.0,-435.0,0.45,40.0,180.0,270.0,0.0,-90.0
70,70000,1000,65.0,0.882,49.714,28245.0,28570.0,4960.0,-325.0,1.05,55.67,540.0,430.0,80.0,110.0
71,71000,1000,45.0,0.878,49.699,28465.0,28810.0,5050.0,-345.0,0.55,47.826,220.0,240.0,90.0,-20.0
72,72000,1000,90.0,0.891,50.055,29495.0,29430.0,5240.0,65.0,1.84,62.424,1030.0,620.0,190.0,410.0
73,73000,1000,53.0,0.889,50.034,29830.0,29790.0,5250.0,40.0,0.705,48.201,335.0,360.0,10.0,-25.0
74,74000,1000,42.0,0.885,50.021,30065.0,30040.0,5370.0,25.0,0.605,48.454,235.0,250.0,120.0,-15.0
